route_id,corridor_id,city_id,route_name,mode,direction,stop_sequence,location_id,is_first_stop,is_last_stop,num_stops
LH-RT-B001-OUT,LH-RT-B001,LH,Route B1,bus,outbound,1,LH-LOC-0236,True,False,14
LH-RT-B001-OUT,LH-RT-B001,LH,Route B1,bus,outbound,2,LH-LOC-0316,False,False,14
LH-RT-B001-OUT,LH-RT-B001,LH,Route B1,bus,outbound,3,LH-LOC-0136,False,False,14
LH-RT-B001-OUT,LH-RT-B001,LH,Route B1,bus,outbound,4,LH-LOC-0266,False,False,14
LH-RT-B001-OUT,LH-RT-B001,LH,Route B1,bus,outbound,5,LH-LOC-0116,False,False,14
LH-RT-B001-OUT,LH-RT-B001,LH,Route B1,bus,outbound,6,LH-LOC-0336,False,False,14
LH-RT-B001-OUT,LH-RT-B001,LH,Route B1,bus,outbound,7,LH-LOC-0196,False,False,14
LH-RT-B001-OUT,LH-RT-B001,LH,Route B1,bus,outbound,8,LH-LOC-0326,False,False,14
LH-RT-B001-OUT,LH-RT-B001,LH,Route B1,bus,outbound,9,LH-LOC-0346,False,False,14
LH-RT-B001-OUT,LH-RT-B001,LH,Route B1,bus,outbound,10,LH-LOC-0106,False,False,14
LH-RT-B001-OUT,LH-RT-B001,LH,Route B1,bus,outbound,11,LH-LOC-0146,False,False,14
LH-RT-B001-OUT,LH-RT-B001,LH,Route B1,bus,outbound,12,LH-LOC-0226,False,False,14
LH-RT-B001-OUT,LH-RT-B001,LH,Route B1,bus,outbound,13,LH-LOC-0126,False,False,14
LH-RT-B001-OUT,LH-RT-B001,LH,Route B1,bus,outbound,14,LH-LOC-0296,False,True,14
LH-RT-B001-IN,LH-RT-B001,LH,Route B1,bus,inbound,1,LH-LOC-0296,True,False,14
LH-RT-B001-IN,LH-RT-B001,LH,Route B1,bus,inbound,2,LH-LOC-0126,False,False,14
LH-RT-B001-IN,LH-RT-B001,LH,Route B1,bus,inbound,3,LH-LOC-0226,False,False,14
LH-RT-B001-IN,LH-RT-B001,LH,Route B1,bus,inbound,4,LH-LOC-0146,False,False,14
LH-RT-B001-IN,LH-RT-B001,LH,Route B1,bus,inbound,5,LH-LOC-0106,False,False,14
LH-RT-B001-IN,LH-RT-B001,LH,Route B1,bus,inbound,6,LH-LOC-0346,False,False,14
LH-RT-B001-IN,LH-RT-B001,LH,Route B1,bus,inbound,7,LH-LOC-0326,False,False,14
LH-RT-B001-IN,LH-RT-B001,LH,Route B1,bus,inbound,8,LH-LOC-0196,False,False,14
LH-RT-B001-IN,LH-RT-B001,LH,Route B1,bus,inbound,9,LH-LOC-0336,False,False,14
LH-RT-B001-IN,LH-RT-B001,LH,Route B1,bus,inbound,10,LH-LOC-0116,False,False,14
LH-RT-B001-IN,LH-RT-B001,LH,Route B1,bus,inbound,11,LH-LOC-0266,False,False,14
LH-RT-B001-IN,LH-RT-B001,LH,Route B1,bus,inbound,12,LH-LOC-0136,False,False,14
LH-RT-B001-IN,LH-RT-B001,LH,Route B1,bus,inbound,13,LH-LOC-0316,False,False,14
LH-RT-B001-IN,LH-RT-B001,LH,Route B1,bus,inbound,14,LH-LOC-0236,False,True,14
LH-RT-B002-OUT,LH-RT-B002,LH,Route B2,bus,outbound,1,LH-LOC-0276,True,False,14
LH-RT-B002-OUT,LH-RT-B002,LH,Route B2,bus,outbound,2,LH-LOC-0186,False,False,14
LH-RT-B002-OUT,LH-RT-B002,LH,Route B2,bus,outbound,3,LH-LOC-0256,False,False,14
LH-RT-B002-OUT,LH-RT-B002,LH,Route B2,bus,outbound,4,LH-LOC-0176,False,False,14
LH-RT-B002-OUT,LH-RT-B002,LH,Route B2,bus,outbound,5,LH-LOC-0206,False,False,14
LH-RT-B002-OUT,LH-RT-B002,LH,Route B2,bus,outbound,6,LH-LOC-0156,False,False,14
LH-RT-B002-OUT,LH-RT-B002,LH,Route B2,bus,outbound,7,LH-LOC-0326,False,False,14
LH-RT-B002-OUT,LH-RT-B002,LH,Route B2,bus,outbound,8,LH-LOC-0246,False,False,14
LH-RT-B002-OUT,LH-RT-B002,LH,Route B2,bus,outbound,9,LH-LOC-0166,False,False,14
LH-RT-B002-OUT,LH-RT-B002,LH,Route B2,bus,outbound,10,LH-LOC-0216,False,False,14
LH-RT-B002-OUT,LH-RT-B002,LH,Route B2,bus,outbound,11,LH-LOC-0306,False,False,14
LH-RT-B002-OUT,LH-RT-B002,LH,Route B2,bus,outbound,12,LH-LOC-0286,False,False,14
LH-RT-B002-OUT,LH-RT-B002,LH,Route B2,bus,outbound,13,LH-LOC-0197,False,False,14
LH-RT-B002-OUT,LH-RT-B002,LH,Route B2,bus,outbound,14,LH-LOC-0327,False,True,14
LH-RT-B002-IN,LH-RT-B002,LH,Route B2,bus,inbound,1,LH-LOC-0327,True,False,14
LH-RT-B002-IN,LH-RT-B002,LH,Route B2,bus,inbound,2,LH-LOC-0197,False,False,14
LH-RT-B002-IN,LH-RT-B002,LH,Route B2,bus,inbound,3,LH-LOC-0286,False,False,14
LH-RT-B002-IN,LH-RT-B002,LH,Route B2,bus,inbound,4,LH-LOC-0306,False,False,14
LH-RT-B002-IN,LH-RT-B002,LH,Route B2,bus,inbound,5,LH-LOC-0216,False,False,14
LH-RT-B002-IN,LH-RT-B002,LH,Route B2,bus,inbound,6,LH-LOC-0166,False,False,14
LH-RT-B002-IN,LH-RT-B002,LH,Route B2,bus,inbound,7,LH-LOC-0246,False,False,14
LH-RT-B002-IN,LH-RT-B002,LH,Route B2,bus,inbound,8,LH-LOC-0326,False,False,14
LH-RT-B002-IN,LH-RT-B002,LH,Route B2,bus,inbound,9,LH-LOC-0156,False,False,14
LH-RT-B002-IN,LH-RT-B002,LH,Route B2,bus,inbound,10,LH-LOC-0206,False,False,14
LH-RT-B002-IN,LH-RT-B002,LH,Route B2,bus,inbound,11,LH-LOC-0176,False,False,14
LH-RT-B002-IN,LH-RT-B002,LH,Route B2,bus,inbound,12,LH-LOC-0256,False,False,14
LH-RT-B002-IN,LH-RT-B002,LH,Route B2,bus,inbound,13,LH-LOC-0186,False,False,14
LH-RT-B002-IN,LH-RT-B002,LH,Route B2,bus,inbound,14,LH-LOC-0276,False,True,14
LH-RT-B003-OUT,LH-RT-B003,LH,Route B3,bus,outbound,1,LH-LOC-0257,True,False,10
LH-RT-B003-OUT,LH-RT-B003,LH,Route B3,bus,outbound,2,LH-LOC-0246,False,False,10
LH-RT-B003-OUT,LH-RT-B003,LH,Route B3,bus,outbound,3,LH-LOC-0277,False,False,10
LH-RT-B003-OUT,LH-RT-B003,LH,Route B3,bus,outbound,4,LH-LOC-0237,False,False,10
LH-RT-B003-OUT,LH-RT-B003,LH,Route B3,bus,outbound,5,LH-LOC-0347,False,False,10
LH-RT-B003-OUT,LH-RT-B003,LH,Route B3,bus,outbound,6,LH-LOC-0337,False,False,10
LH-RT-B003-OUT,LH-RT-B003,LH,Route B3,bus,outbound,7,LH-LOC-0316,False,False,10
LH-RT-B003-OUT,LH-RT-B003,LH,Route B3,bus,outbound,8,LH-LOC-0167,False,False,10
LH-RT-B003-OUT,LH-RT-B003,LH,Route B3,bus,outbound,9,LH-LOC-0207,False,False,10
